v_max/0,v_max/1,v_max/2,piezoelectric_tensor/0/0,piezoelectric_tensor/0/1,piezoelectric_tensor/0/2,piezoelectric_tensor/0/3,piezoelectric_tensor/0/4,piezoelectric_tensor/0/5,piezoelectric_tensor/1/0,piezoelectric_tensor/1/1,piezoelectric_tensor/1/2,piezoelectric_tensor/1/3,piezoelectric_tensor/1/4,piezoelectric_tensor/1/5,piezoelectric_tensor/2/0,piezoelectric_tensor/2/1,piezoelectric_tensor/2/2,piezoelectric_tensor/2/3,piezoelectric_tensor/2/4,piezoelectric_tensor/2/5,meta/nsites,meta/space_group,meta/material_id,meta/point_group,meta/volume,meta/kpoint_density,meta/formula,meta/poscar,meta/structure,eij_max
1,1,1,0,0,0,-0.15842,0,0,0,0,0,0,-0.15842,0,0,0,0,0,0,-0.15842,2,216,mp-22925,-43m,73.21958332409856,2000,AgI,"Ag1 I1
1.0
4.066724 0.000000 2.347924
1.355575 3.834144 2.347924
0.000000 0.000000 4.695849
Ag I
1 1
direct
0.000000 0.000000 0.000000 Ag
0.250000 0.250000 0.250000 I
","#generated using pymatgen
data_AgI
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.69584858
_cell_length_b   4.69584857
_cell_length_c   4.69584857
_cell_angle_alpha   59.99999994
_cell_angle_beta   59.99999998
_cell_angle_gamma   59.99999995
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AgI
_chemical_formula_sum   'Ag1 I1'
_cell_volume   73.2195833241
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag1  1  0.000000  0.000000  0.000000  1
  I  I2  1  0.250000  0.250000  0.250000  1
",0.091464
1,1,1,0,0,0,0.00839667,0,0,0,0,0,0,0.00839667,0,0,0,0,0,0,0.00839667,2,216,mp-406,-43m,72.82720794844357,2000,CdTe,"Cd1 Te1
1.0
4.059447 0.000000 2.343723
1.353149 3.827283 2.343723
0.000000 0.000000 4.687445
Cd Te
1 1
direct
0.000000 0.000000 0.000000 Cd
0.250000 0.250000 0.250000 Te
","#generated using pymatgen
data_CdTe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.68744537
_cell_length_b   4.68744537
_cell_length_c   4.68744537
_cell_angle_alpha   60.00000006
_cell_angle_beta   60.00000006
_cell_angle_gamma   60.00000008
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CdTe
_chemical_formula_sum   'Cd1 Te1'
_cell_volume   72.8272079484
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cd  Cd1  1  0.000000  0.000000  0.000000  1
  Te  Te2  1  0.250000  0.250000  0.250000  1
",0.004848
1,1,1,0,0,0,0.89676,0,0,0,0,0,0,0.89676,0,0,0,0,0,0,0.89676,2,216,mp-1639,-43m,11.917209407887151,2000,BN,"B1 N1
1.0
2.220379 0.000000 1.281937
0.740126 2.093394 1.281937
0.000000 0.000000 2.563873
B N
1 1
direct
0.000000 0.000000 0.000000 B
0.250000 0.250000 0.250000 N
","#generated using pymatgen
data_BN
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.56387308
_cell_length_b   2.56387309
_cell_length_c   2.56387308
_cell_angle_alpha   60.00000008
_cell_angle_beta   60.00000001
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BN
_chemical_formula_sum   'B1 N1'
_cell_volume   11.9172094079
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  B  B1  1  0.000000  0.000000  0.000000  1
  N  N2  1  0.250000  0.250000  0.250000  1
",0.517745
1,1,1,0,0,0,0.05316,0,0,0,0,0,0,0.05316,0,0,0,0,0,0,0.05316,2,216,mp-10695,-43m,40.475675140540325,2000,ZnS,"Zn1 S1
1.0
3.337595 0.000000 1.926961
1.112532 3.146715 1.926961
0.000000 0.000000 3.853923
S Zn
1 1
direct
0.250000 0.250000 0.250000 S
0.000000 0.000000 0.000000 Zn
","#generated using pymatgen
data_ZnS
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.85392300
_cell_length_b   3.85392300
_cell_length_c   3.85392300
_cell_angle_alpha   59.99999998
_cell_angle_beta   59.99999998
_cell_angle_gamma   59.99999999
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ZnS
_chemical_formula_sum   'Zn1 S1'
_cell_volume   40.4756751405
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  S  S1  1  0.250000  0.250000  0.250000  1
  Zn  Zn2  1  0.000000  0.000000  0.000000  1
",0.030692
1,1,1,0,0,0,0.11931,0,0,0,0,0,0,0.11931,0,0,0,0,0,0,0.11931,2,216,mp-2176,-43m,59.14561543024554,2000,ZnTe,"Zn1 Te1
1.0
3.787417 0.000000 2.186666
1.262472 3.570811 2.186666
0.000000 0.000000 4.373333
Zn Te
1 1
direct
0.000000 0.000000 0.000000 Zn
0.250000 0.250000 0.250000 Te
","#generated using pymatgen
data_ZnTe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.37333270
_cell_length_b   4.37333270
_cell_length_c   4.37333270
_cell_angle_alpha   60.00000003
_cell_angle_beta   60.00000002
_cell_angle_gamma   59.99999998
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ZnTe
_chemical_formula_sum   'Zn1 Te1'
_cell_volume   59.1456154302
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn1  1  0.000000  0.000000  0.000000  1
  Te  Te2  1  0.250000  0.250000  0.250000  1
",0.068884
1,1,1,0,0,0,-0.6559,0,0,0,0,0,0,-0.6559,0,0,0,0,0,0,-0.6559,2,216,mp-1986,-43m,24.81843311643088,2000,ZnO,"Zn1 O1
1.0
2.835484 -0.000000 1.637067
0.945161 2.673319 1.637067
0.000000 0.000000 3.274134
Zn O
1 1
direct
0.000000 0.000000 0.000000 Zn
0.250000 0.250000 0.250000 O
","#generated using pymatgen
data_ZnO
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.27413428
_cell_length_b   3.27413374
_cell_length_c   3.27413388
_cell_angle_alpha   59.99999861
_cell_angle_beta   60.00000406
_cell_angle_gamma   60.00000360
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ZnO
_chemical_formula_sum   'Zn1 O1'
_cell_volume   24.8184331164
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn1  1  0.000000  0.000000  0.000000  1
  O  O2  1  0.250000  0.250000  0.250000  1
",0.378684
1,1,1,0,0,0,-0.05709,0,0,0,0,0,0,-0.05709,0,0,0,0,0,0,-0.05709,2,216,mp-1190,-43m,47.337645428691815,2000,ZnSe,"Zn1 Se1
1.0
3.516451 0.000000 2.030224
1.172150 3.315341 2.030224
0.000000 0.000000 4.060447
Zn Se
1 1
direct
0.000000 0.000000 0.000000 Zn
0.250000 0.250000 0.250000 Se
","#generated using pymatgen
data_ZnSe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.06044734
_cell_length_b   4.06044735
_cell_length_c   4.06044735
_cell_angle_alpha   60.00000006
_cell_angle_beta   60.00000002
_cell_angle_gamma   60.00000010
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ZnSe
_chemical_formula_sum   'Zn1 Se1'
_cell_volume   47.3376454287
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn1  1  0.000000  0.000000  0.000000  1
  Se  Se2  1  0.250000  0.250000  0.250000  1
",0.032961
1,1,1,0,0,0,0.11965,0,0,0,0,0,0,0.11965,0,0,0,0,0,0,0.11965,2,216,mp-1778,-43m,13.980548086949062,2000,BeO,"Be1 O1
1.0
2.341767 0.000000 1.352020
0.780589 2.207839 1.352020
0.000000 0.000000 2.704040
Be O
1 1
direct
0.000000 0.000000 0.000000 Be
0.250000 0.250000 0.250000 O
","#generated using pymatgen
data_BeO
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.70403971
_cell_length_b   2.70403971
_cell_length_c   2.70403971
_cell_angle_alpha   60.00000012
_cell_angle_beta   60.00000007
_cell_angle_gamma   60.00000003
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BeO
_chemical_formula_sum   'Be1 O1'
_cell_volume   13.9805480869
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Be  Be1  1  0.000000  0.000000  0.000000  1
  O  O2  1  0.250000  0.250000  0.250000  1
",0.06908
1,1,1,0,0,0,0.12862,0,0,0,0,0,0,0.12862,0,0,0,0,0,0,0.12862,2,216,mp-830,-43m,23.48047625009842,2000,GaN,"Ga1 N1
1.0
2.783586 0.000000 1.607104
0.927862 2.624390 1.607104
0.000000 0.000000 3.214208
N Ga
1 1
direct
0.250000 0.250000 0.250000 N
0.000000 0.000000 0.000000 Ga
","#generated using pymatgen
data_GaN
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.21420792
_cell_length_b   3.21420791
_cell_length_c   3.21420792
_cell_angle_alpha   59.99999993
_cell_angle_beta   59.99999998
_cell_angle_gamma   59.99999999
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GaN
_chemical_formula_sum   'Ga1 N1'
_cell_volume   23.4804762501
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  N  N1  1  0.250000  0.250000  0.250000  1
  Ga  Ga2  1  0.000000  0.000000  0.000000  1
",0.074259
1,1,1,0,0,0,-0.13569667,0,0,0,0,0,0,-0.13569667,0,0,0,0,0,0,-0.13569667,2,216,mp-22895,-43m,54.93133765997505,2000,CuI,"Cu1 I1
1.0
3.635470 0.034010 2.154478
1.243888 3.518248 2.154478
0.000000 0.000000 4.308955
Cu I
1 1
direct
0.839338 0.720221 0.720221 Cu
0.075662 0.974779 0.974779 I
","#generated using pymatgen
data_CuI
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.22605871
_cell_length_b   4.30895585
_cell_length_c   4.30895549
_cell_angle_alpha   60.00000283
_cell_angle_beta   59.34897101
_cell_angle_gamma   59.34897413
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CuI
_chemical_formula_sum   'Cu1 I1'
_cell_volume   54.93133766
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu1  1  0.839338  0.720221  0.720221  1
  I  I2  1  0.075662  0.974779  0.974779  1
",0.078345
